"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.711984167E-1,-4.415302706E-1,6.136720070E-1,-5.143275207E-1
7.811884166E-1,-7.035843498E-1,7.157608840E-1,-3.620958459E-1
7.911784167E-1,-9.609571481E-1,7.744118191E-1,-3.827903116E-1
8.011674166E-1,-9.642117083E-1,6.648738818E-1,-4.078520626E-1
8.111574167E-1,-7.581087586E-1,5.375864290E-1,-3.650551218E-1
8.211474167E-1,-6.092696384E-1,5.082437852E-1,-3.026723474E-1
8.311364166E-1,-4.684224924E-1,4.837332805E-1,-2.767001849E-1
8.411264167E-1,-3.754675511E-1,3.864318113E-1,-5.223060465E-1
8.511164167E-1,-3.731184322E-1,1.909759104E-1,-6.887885553E-1
8.611064166E-1,-5.794636028E-1,5.888029218E-2,-6.978774673E-1
8.710954167E-1,-1.083439505E0,2.374125968E-1,-7.121651387E-1
8.810854167E-1,-1.364129684E0,6.801231278E-1,1.199749249E-1
8.910754166E-1,-1.236146559E0,9.895250358E-1,4.480873382E-1
9.010644167E-1,-1.018670775E0,9.862438707E-1,2.062921071E-1
9.110544166E-1,-7.290922433E-1,7.899572267E-1,4.989429116E-2
9.210444167E-1,-4.810230960E-1,5.882756491E-1,-9.550023437E-2
9.310334167E-1,-4.476973289E-1,5.496338859E-1,1.007674062E-1
9.410234166E-1,-5.662127888E-1,5.824917296E-1,1.849012381E-1
9.510134167E-1,-7.079383327E-1,4.096934970E-1,2.303919911E-2
9.610024166E-1,-9.991976461E-1,1.412029490E-1,-2.676147813E-1
9.709924167E-1,-1.061458652E0,-6.178548127E-2,-5.330906510E-1
9.809824167E-1,-9.052488242E-1,-1.482106908E-1,-6.869022435E-1
9.909714166E-1,-8.463106446E-1,-1.228497085E-1,-6.727069581E-1
1.000961417E0,-7.625007485E-1,7.820753261E-2,-4.560980237E-1
1.010951417E0,-7.512080940E-1,3.603112757E-1,-2.759850705E-1
1.020941417E0,-6.908954532E-1,5.015330820E-1,-1.396683472E-1
1.030930417E0,-4.598708665E-1,4.323342083E-1,-1.349274248E-1
1.040920417E0,-3.282285536E-1,4.094023056E-1,-6.297217369E-2
1.050910417E0,-2.749470435E-1,4.790837207E-1,-1.446466666E-1
1.060899417E0,-3.560426256E-1,4.989459814E-1,-3.113747585E-1
1.070889417E0,-4.891990749E-1,3.905706167E-1,-4.763475162E-1
1.080879417E0,-6.498703650E-1,1.520053875E-1,-7.938530803E-1
1.090868417E0,-7.956610394E-1,-8.870723158E-2,-1.213808879E0
1.100858417E0,-8.359127603E-1,-8.315033019E-2,-1.509193842E0
1.110848417E0,-6.843668908E-1,1.306883396E-1,-1.473452151E0
1.120837417E0,-4.803557825E-1,4.318048891E-1,-1.027735274E0
1.130827417E0,-4.918177870E-1,7.349771735E-1,-6.021585470E-1
1.140817417E0,-5.915245083E-1,9.517286338E-1,-2.647262567E-1
1.150807417E0,-7.418594925E-1,1.028498190E0,-2.373905236E-1
1.160796417E0,-7.742116251E-1,8.407497963E-1,-5.423427004E-1
1.170786417E0,-6.235241269E-1,4.023683976E-1,-9.862434322E-1
1.180776417E0,-2.710076281E-1,-8.922295600E-2,-1.482798926E0
1.190765417E0,3.134949223E-1,-4.975349021E-1,-1.858601815E0
1.200755417E0,8.309155105E-1,-8.478202495E-1,-1.762581763E0
1.210745417E0,9.262999700E-1,-9.646476182E-1,-1.608887699E0
1.220734417E0,8.255072746E-1,-8.744554862E-1,-1.318547714E0
1.230724417E0,6.719305209E-1,-5.682294935E-1,-7.381536734E-1
1.240714417E0,5.952613907E-1,-1.958583355E-1,-1.126056790E-2
1.250703417E0,6.600137492E-1,1.544308126E-1,7.191163087E-1
1.260693417E0,6.609441143E-1,2.624572447E-1,8.479351473E-1
1.270683417E0,4.304169794E-1,1.463601932E-1,3.218009287E-1
1.280673417E0,1.045182489E-1,-9.929127663E-2,-3.093586385E-1
1.290662417E0,-1.336373828E-1,-4.026766920E-1,-6.588373625E-1
1.300652417E0,-3.058592261E-1,-4.323027796E-1,-7.004771394E-1
1.310642417E0,-3.429670454E-1,-1.007378778E-1,-6.508909965E-1
1.320631417E0,-2.504907717E-1,1.865700334E-1,-5.452452582E-1
1.330621417E0,-3.383286685E-1,4.090454793E-1,-2.878128183E-1
