"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.811884166E-1,1.651533246E-1,-1.225428343E0,3.009709716E-1
7.911784167E-1,1.843057126E-1,-1.152303815E0,3.067875803E-1
8.011674166E-1,1.952114254E-1,-1.103597164E0,3.366867602E-1
8.111574167E-1,1.972215772E-1,-1.124401212E0,3.580032289E-1
8.211474167E-1,1.746883094E-1,-1.164328456E0,3.755625784E-1
8.311364166E-1,1.172090471E-1,-1.153377295E0,3.909654915E-1
8.411264167E-1,8.263248950E-3,-1.118667841E0,4.032706320E-1
8.511164167E-1,-1.076652184E-1,-1.171223998E0,3.954678178E-1
8.611064166E-1,-2.545663714E-1,-1.195325136E0,4.148567915E-1
8.710954167E-1,-3.160542250E-1,-1.249010444E0,4.807609916E-1
8.810854167E-1,-2.721508443E-1,-1.255241394E0,5.423252583E-1
8.910754166E-1,-2.045739144E-1,-1.183829308E0,5.560452938E-1
9.010644167E-1,-1.645683795E-1,-1.128416657E0,5.141176581E-1
9.110544166E-1,-1.715056449E-1,-1.075951576E0,4.428767562E-1
9.210444167E-1,-1.829838604E-1,-1.046707153E0,3.655208349E-1
9.310334167E-1,-1.677178293E-1,-1.031083822E0,3.163564801E-1
9.410234166E-1,-1.492054611E-1,-9.789668918E-1,2.954241037E-1
9.510134167E-1,-1.609734446E-1,-9.177208543E-1,3.092440665E-1
9.610024166E-1,-2.041834891E-1,-8.782006502E-1,3.441921771E-1
9.709924167E-1,-2.781879604E-1,-8.993589282E-1,3.916132450E-1
9.809824167E-1,-3.539151549E-1,-9.455827475E-1,4.321357608E-1
9.909714166E-1,-4.153873026E-1,-1.000627398E0,4.508215785E-1
1.000961417E0,-4.379581213E-1,-1.049364209E0,4.623296559E-1
1.010951417E0,-4.367807508E-1,-1.045492768E0,4.810849726E-1
1.020941417E0,-4.239394367E-1,-1.022182226E0,4.823572040E-1
1.030930417E0,-3.906083703E-1,-1.020980597E0,4.592446685E-1
1.040920417E0,-3.558062613E-1,-1.024814248E0,4.369404316E-1
1.050910417E0,-3.327914774E-1,-1.026878238E0,4.198043346E-1
1.060899417E0,-3.096030653E-1,-9.939319491E-1,4.173253775E-1
1.070889417E0,-3.012612462E-1,-9.499152303E-1,4.388256073E-1
1.080879417E0,-3.374049366E-1,-8.998218775E-1,5.009145141E-1
1.090868417E0,-4.135721326E-1,-8.731253147E-1,5.840964317E-1
1.100858417E0,-4.959150255E-1,-8.949266076E-1,6.521925330E-1
1.110848417E0,-5.384582281E-1,-9.566304088E-1,7.162237167E-1
1.120837417E0,-5.160457492E-1,-1.067667603E0,8.074403405E-1
1.130827417E0,-4.209336638E-1,-1.153212070E0,9.162773490E-1
1.140817417E0,-2.810608149E-1,-1.164819360E0,1.023437500E0
1.150807417E0,-1.372347027E-1,-1.104706764E0,1.113206983E0
1.160796417E0,-4.667510092E-2,-1.024249196E0,1.171018600E0
1.170786417E0,-4.445295781E-2,-9.051361084E-1,1.196121573E0
1.180776417E0,-1.364185661E-1,-8.002388477E-1,1.178358078E0
1.190765417E0,-2.380519807E-1,-7.636774182E-1,1.087692618E0
1.200755417E0,-3.346453011E-1,-8.059574962E-1,9.901754260E-1
1.210745417E0,-4.658158422E-1,-7.894059420E-1,9.149392247E-1
1.220734417E0,-5.736545324E-1,-7.364588976E-1,8.360390663E-1
1.230724417E0,-6.134045720E-1,-6.744163036E-1,7.570161819E-1
1.240714417E0,-5.448103547E-1,-6.143932343E-1,6.717625260E-1
1.250703417E0,-4.084346890E-1,-5.854393244E-1,5.953548551E-1
1.260693417E0,-3.029241860E-1,-6.263838410E-1,5.658020973E-1
1.270683417E0,-2.890001237E-1,-6.856269240E-1,6.051840782E-1
1.280673417E0,-3.416226506E-1,-7.459343076E-1,6.909754872E-1
1.290662417E0,-3.953247666E-1,-7.906962037E-1,7.848743200E-1
1.300652417E0,-4.297863245E-1,-8.575062156E-1,8.556415439E-1
1.310642417E0,-4.489573538E-1,-8.776927590E-1,8.841000795E-1
1.320631417E0,-4.430647194E-1,-8.191320300E-1,8.616259694E-1
1.330621417E0,-4.014427066E-1,-7.180184126E-1,8.225909472E-1
1.340611417E0,-3.304421008E-1,-5.935949683E-1,7.793878913E-1
1.350600417E0,-2.484366894E-1,-4.451900721E-1,7.392908335E-1
1.360590417E0,-1.818661392E-1,-3.391005695E-1,7.335909605E-1
1.370580417E0,-1.140279695E-1,-3.885538876E-1,8.249903917E-1
